tree1,tree2,dissimilarity,fire.history.1,fire.history.2,comp.fire,range.1,range.2,comp.range
F10,F12,0.982222222,burned,burned,Same,santa.catalina,pinaleno,Different
F6,F12,0.98615917,burned,burned,Same,santa.catalina,pinaleno,Different
F7,F12,0.98974359,burned,burned,Same,santa.catalina,pinaleno,Different
F8,F12,0.979695431,burned,burned,Same,santa.catalina,pinaleno,Different
F9,F12,0.96875,burned,burned,Same,santa.catalina,pinaleno,Different
F13,F13,0,burned,burned,Same,pinaleno,pinaleno,Same
F14,F13,0.957746479,burned,burned,Same,pinaleno,pinaleno,Same
F15,F13,0.892857143,burned,burned,Same,pinaleno,pinaleno,Same
F16,F13,0.938118812,burned,burned,Same,pinaleno,pinaleno,Same
F17,F13,0.968944099,burned,burned,Same,pinaleno,pinaleno,Same
F18,F13,0.978527607,burned,burned,Same,pinaleno,pinaleno,Same
F19,F13,0.980874317,burned,burned,Same,pinaleno,pinaleno,Same
F20,F13,0.977911647,burned,burned,Same,pinaleno,pinaleno,Same
LB019,F13,0.989795918,unburned,burned,Different,santa.catalina,pinaleno,Different
LB020,F13,0.991404011,unburned,burned,Different,santa.catalina,pinaleno,Different
LB021,F13,0.984924623,unburned,burned,Different,santa.catalina,pinaleno,Different
LB023,F13,0.992805755,unburned,burned,Different,santa.catalina,pinaleno,Different
LB024,F13,0.989247312,unburned,burned,Different,santa.catalina,pinaleno,Different
LB055,F13,0.960227273,unburned,burned,Different,santa.catalina,pinaleno,Different
LB056,F13,1,unburned,burned,Different,santa.catalina,pinaleno,Different
LB057,F13,0.984375,unburned,burned,Different,santa.catalina,pinaleno,Different
LB058,F13,0.990595611,unburned,burned,Different,santa.catalina,pinaleno,Different
LB059,F13,0.995856354,unburned,burned,Different,santa.catalina,pinaleno,Different
LB060,F13,0.994117647,unburned,burned,Different,santa.catalina,pinaleno,Different
F1,F13,0.98989899,burned,burned,Same,santa.catalina,pinaleno,Different
F2,F13,0.991525424,burned,burned,Same,santa.catalina,pinaleno,Different
F3,F13,0.993562232,burned,burned,Same,santa.catalina,pinaleno,Different
