OTU_ID	F1	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F2	F20	F3	F4	F5	F6	F7	F8	F9	LB019	LB020	LB021	LB023	LB024	LB055	LB056	LB057	LB058	LB059	LB060	NF11	NF12	NF13	NF14	NF15	NF16	NF17	NF18	NF19	NF20	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
otu20	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;NA	Atheliaceae	9	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Lichen Parasite-Lichenized-Plant Pathogen	Possible	Corticioid	NULL	"Many species form ectomycorrhizal associations, often occupying a dominant position in mycorrhizal communities. Other species are pathogens of many different plants and even lichens, and one species has even been suggested to form a lichen association with cyanobacteria. Yet more species are sparse and active decomposers, and a few are aquatic (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella	Tomentella	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Corticioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	Russula	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu64	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe	Inocybaceae	9	Symbiotroph	Ectomycorrhizal	Probable	Agaricoid	NULL	"Sensu stricto with the exclusion of Crepidotaceae, Tubariaceae, and Chromocyphellaceae; Pharmacology: muscarine, psilocybin, aeruginascen, unclarified alkaloids, or none"	Matheny PB. 2009. McIlvainea 18:11-21
otu75	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA	Thelephoraceae	9	Saprotroph-Symbiotroph	Ectomycorrhizal-Undefined Saprotroph	Probable	Clavarioid	NULL	"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu77	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrophorus	Hygrophorus	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu81	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe	Inocybaceae	9	Symbiotroph	Ectomycorrhizal	Probable	Agaricoid	NULL	"Sensu stricto with the exclusion of Crepidotaceae, Tubariaceae, and Chromocyphellaceae; Pharmacology: muscarine, psilocybin, aeruginascen, unclarified alkaloids, or none"	Matheny PB. 2009. McIlvainea 18:11-21
otu95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Pachyphlodes	Pezizaceae	9	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph	Possible	Pezizoid	NULL	"Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	Basidiomycota;Agaricomycetes;Boletales;NA;NA	-	-	-	-	-	-	-	Unassigned	-
otu66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	Basidiomycota;Agaricomycetes;Hysterangiales;NA;NA	-	-	-	-	-	-	-	Unassigned	-
